Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
6310;21100228514;"Proceedings - IEEE International Symposium on Rapid System Prototyping, RSP";conference and proceedings;"21505519, 21505500";"IEEE Computer Society";No;No;0,143;-;23;10;33;215;14;30;0,50;21,50;19,23;0;2;United States;Northern America;"IEEE Computer Society";"2012, 2014, 2016-2018, 2021-2023";"Computer Networks and Communications; Control and Systems Engineering; Hardware and Architecture; Signal Processing; Software";"Computer Science; Engineering"
6311;21100222906;"Proceedings of the International Conference on Anti-Counterfeiting, Security and Identification, ASID";conference and proceedings;"21635048, 21635056";"IEEE Computer Society";No;No;0,143;-;16;31;119;366;48;113;0,28;11,81;28,57;0;3;United States;Northern America;"IEEE Computer Society";"2012-2013, 2016-2024";"Computer Graphics and Computer-Aided Design; Computer Science Applications; Computer Vision and Pattern Recognition; Software";"Computer Science"
6312;28392;"African Economic History";journal;"01452258";"University of Wisconsin at Madison";No;No;0,142;Q2;15;11;49;1022;11;49;0,17;92,91;50,00;0;7;United States;Northern America;"University of Wisconsin at Madison";"1976, 1981, 1999-2024";"History (Q2); Economics and Econometrics (Q4)";"Arts and Humanities; Economics, Econometrics and Finance"
6313;28396;"Classical Journal";journal;"00098353";"Johns Hopkins University Press";No;No;0,142;Q2;18;27;57;1577;18;57;0,26;58,41;41,38;0;1;United States;Northern America;"Johns Hopkins University Press";"1970, 1974, 1982, 2002-2024";"Classics (Q2)";"Arts and Humanities"
6314;5700166926;"Journal of Cold War Studies";journal;"15313298, 15203972";"";No;No;0,142;Q2;17;13;80;136;30;52;0,43;10,46;6,67;0;0;United States;Northern America;"";"2011-2024";"History (Q2); Political Science and International Relations (Q4)";"Arts and Humanities; Social Sciences"
6315;21101162887;"Shakespeare Bulletin";journal;"07482558, 19311427";"Johns Hopkins University Press";No;No;0,142;Q2;4;15;87;572;37;83;0,41;38,13;81,82;0;1;United States;Northern America;"Johns Hopkins University Press";"2019-2024";"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2)";"Arts and Humanities"
6316;33154;"Journal of Architectural and Planning Research";journal;"07380895";"Locke Science Publishing Company Inc.";No;No;0,142;Q3;34;0;6;0;2;6;0,33;0,00;0,00;0;0;United States;Northern America;"Locke Science Publishing Company Inc.";"1984-2019, 2022";"Architecture (Q3); Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4); Urban Studies (Q4)";"Engineering; Environmental Science; Social Sciences"
6317;21101171601;"Journal of Education in Muslim Societies";journal;"26410044, 26410052";"Indiana University Press";No;No;0,142;Q3;3;16;44;546;15;34;0,31;34,13;58,82;0;7;United States;Northern America;"Indiana University Press";"2019-2024";"Cultural Studies (Q3); Education (Q4)";"Social Sciences"
6318;5400152618;"American Journal of Biochemistry and Biotechnology";journal;"15533468, 15586332";"Science Publications";Yes;No;0,142;Q4;39;42;135;1459;58;135;0,38;34,74;45,96;0;13;United States;Northern America;"Science Publications";"2007-2025";"Biochemistry (Q4); Biotechnology (Q4)";"Biochemistry, Genetics and Molecular Biology"
6319;130071;"Concepts in Magnetic Resonance Part A: Bridging Education and Research";journal;"15466086, 15525023";"John Wiley and Sons Inc";Yes;No;0,142;Q4;53;1;21;51;8;21;0,32;51,00;0,00;0;0;United States;Northern America;"John Wiley and Sons Inc";"2002-2024";"Spectroscopy (Q4)";"Chemistry"
6320;21101039233;"Engineering Project Organization Journal";journal;"21573727, 21573735";"Engineering Project Organization Society (EPOS)";No;No;0,142;Q4;6;11;19;407;7;18;0,00;37,00;12,50;0;2;United States;Northern America;"Engineering Project Organization Society (EPOS)";"2019-2022, 2024";"Building and Construction (Q4); Engineering (miscellaneous) (Q4); Information Systems and Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering"
6321;21101060491;"Know";journal;"2473599X, 24736007";"University of Chicago Press";No;No;0,142;Q4;6;6;39;425;9;33;0,14;70,83;50,00;0;0;United States;Northern America;"University of Chicago Press";"2017-2024";"Multidisciplinary (Q4)";"Multidisciplinary"
6322;110421;"ASHRAE Transactions";conference and proceedings;"00012505";"American Society of Heating Refrigerating and Air-Conditioning Engineers";No;No;0,142;-;72;187;440;2948;102;435;0,24;15,76;23,58;0;126;United States;Northern America;"American Society of Heating Refrigerating and Air-Conditioning Engineers";"1969-1987, 1989-2024";"Building and Construction; Mechanical Engineering";"Engineering"
6323;21100995124;"IEEE Electrical Design of Advanced Packaging and Systems Symposium";conference and proceedings;"21511225, 21511233";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,142;-;7;0;113;0;56;109;0,44;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2019-2023";"Automotive Engineering; Computer Science (miscellaneous); Control and Systems Engineering; Electrical and Electronic Engineering";"Computer Science; Engineering"
6324;21100283376;"International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices, EDM";conference and proceedings;"2325419X, 23254173";"IEEE Computer Society";No;No;0,142;-;17;268;482;4175;172;479;0,36;15,58;24,03;0;62;United States;Northern America;"IEEE Computer Society";"2013-2024";"Atomic and Molecular Physics, and Optics; Electrical and Electronic Engineering";"Engineering; Physics and Astronomy"
6325;144852;"Proceedings - International Conference of the Chilean Computer Science Society, SCCC";conference and proceedings;"15224902";"IEEE Computer Society";No;No;0,142;-;18;51;139;1134;54;133;0,29;22,24;27,01;0;21;United States;Northern America;"IEEE Computer Society";"1999-2003, 2005, 2007-2013, 2016-2024";"Computer Science (miscellaneous); Engineering (miscellaneous)";"Computer Science; Engineering"
6326;16600154708;"Contemporary Literature";journal;"00107484, 15489949";"University of Wisconsin Press";No;No;0,141;Q2;22;35;53;1318;10;48;0,06;37,66;54,84;0;1;United States;Northern America;"University of Wisconsin Press";"2002-2025";"Literature and Literary Theory (Q2)";"Arts and Humanities"
6327;5800210947;"Heythrop Journal - Quarterly Review of Philosophy and Theology";journal;"00181196";"Wiley-Blackwell";No;No;0,141;Q2;15;42;201;857;28;197;0,14;20,40;10,00;0;4;United States;Northern America;"Wiley-Blackwell";"1960-2025";"Religious Studies (Q2); Philosophy (Q3); Neurology (Q4); Radiological and Ultrasound Technology (Q4); Radiology, Nuclear Medicine and Imaging (Q4); Waste Management and Disposal (Q4); Water Science and Technology (Q4)";"Arts and Humanities; Environmental Science; Health Professions; Medicine; Neuroscience"
6328;21100258855;"International Journal of Architectonic, Spatial, and Environmental Design";journal;"23251662, 23251670";"Common Ground Research Networks";No;No;0,141;Q2;5;17;57;635;10;56;0,21;37,35;50,00;0;7;United States;Northern America;"Common Ground Research Networks";"2012-2025";"Visual Arts and Performing Arts (Q2); Architecture (Q3); Urban Studies (Q4)";"Arts and Humanities; Engineering; Social Sciences"
6329;19700169859;"Journal for the Study of Radicalism";journal;"19301197, 19301189";"Michigan State University";No;No;0,141;Q2;13;6;43;546;16;35;0,31;91,00;37,50;0;1;United States;Northern America;"Michigan State University";"2010-2024";"History (Q2); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
6330;5600155520;"Journal of Church and State";journal;"0021969X";"Oxford University Press";No;No;0,141;Q2;21;12;83;827;28;80;0,30;68,92;23,53;1;2;United States;Northern America;"Oxford University Press";"1959-1978, 1980-1992, 1994, 2002-2025";"History (Q2); Religious Studies (Q2); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
6331;5800164138;"International Journal of American Linguistics";journal;"00207071";"University of Chicago Press";No;No;0,141;Q3;27;25;76;700;17;62;0,22;28,00;47,06;0;0;United States;Northern America;"University of Chicago Press";"1996-2024";"Linguistics and Language (Q3)";"Social Sciences"
6332;4700152775;"Techniques in Foot and Ankle Surgery";journal;"15360644, 15381943";"Lippincott Williams and Wilkins Ltd.";No;No;0,141;Q4;21;38;108;823;13;104;0,14;21,66;20,17;0;3;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2002, 2005-2025";"Orthopedics and Sports Medicine (Q4); Surgery (Q4)";"Medicine"
6333;21101198460;"IEEE Student Conference on Electric Machines and Systems (SCEMS)";conference and proceedings;"27717577";"Institute of Electrical and Electronics Engineers";No;No;0,141;-;2;94;108;1350;34;106;0,31;14,36;34,07;0;46;United States;Northern America;"Institute of Electrical and Electronics Engineers";"2023-2024";"Control and Systems Engineering; Electrical and Electronic Engineering; Industrial and Manufacturing Engineering; Mechanical Engineering";"Engineering"
6334;21101132401;"Proceedings of World Multi-Conference on Systemics, Cybernetics and Informatics, WMSCI";conference and proceedings;"27710947";"International Institute of Informatics and Cybernetics";No;No;0,141;-;3;58;166;1342;35;160;0,21;23,14;54,14;0;16;United States;Northern America;"International Institute of Informatics and Cybernetics";"2022-2024";"Artificial Intelligence; Computer Networks and Communications; Information Systems";"Computer Science"
6335;21101041513;"Enquiry";journal;"23299339";"Architectural Research Centers Consortium";Yes;Yes;0,140;Q2;3;8;26;358;15;23;0,37;44,75;54,55;0;4;United States;Northern America;"Architectural Research Centers Consortium";"2019-2024";"History (Q2); Visual Arts and Performing Arts (Q2); Architecture (Q3)";"Arts and Humanities; Engineering"
6336;21100429175;"Northwestern Journal of International Law and Business";journal;"01963228";"Northwestern University School of Law";No;No;0,140;Q3;10;14;28;66;11;23;0,33;4,71;46,67;0;6;United States;Northern America;"Northwestern University School of Law";"2015-2024";"Law (Q3); Business and International Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
6337;19700188358;"Current Psychiatry";journal;"15378276";"Frontline Medical Communications Inc.";No;No;0,140;Q4;14;0;318;0;64;229;0,19;0,00;0,00;0;0;United States;Northern America;"Frontline Medical Communications Inc.";"2011-2023";"Psychiatry and Mental Health (Q4)";"Medicine"
6338;9500154122;"Genetic Engineering and Biotechnology News";journal;"1935472X";"Mary Ann Liebert Inc.";No;No;0,140;Q4;12;177;826;94;33;707;0,04;0,53;36,46;0;16;United States;Northern America;"Mary Ann Liebert Inc.";"2007-2025";"Bioengineering (Q4); Biomedical Engineering (Q4); Biotechnology (Q4); Management of Technology and Innovation (Q4)";"Biochemistry, Genetics and Molecular Biology; Business, Management and Accounting; Chemical Engineering; Engineering"
6339;21101190210;"International Journal for Research in Learning Disabilities";journal;"2325565X, 23293764";"International Academy for Research in Learning Disabilities (IARLD)";No;No;0,140;Q4;3;5;14;385;5;14;0,30;77,00;73,33;0;5;United States;Northern America;"International Academy for Research in Learning Disabilities (IARLD)";"2019-2024";"Education (Q4); Medicine (miscellaneous) (Q4); Neuroscience (miscellaneous) (Q4); Psychology (miscellaneous) (Q4)";"Medicine; Neuroscience; Psychology; Social Sciences"
6340;19130;"International Journal on Algae";journal;"15219429";"Begell House Inc.";No;No;0,140;Q4;13;20;85;784;30;84;0,32;39,20;53,57;0;6;United States;Northern America;"Begell House Inc.";"2004-2025";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences"
6341;21101134686;"Proceedings - International Conference on Education and Technology, ICET";conference and proceedings;"27704807";"Institute of Electrical and Electronics Engineers";No;No;0,140;-;4;41;91;1233;57;89;0,63;30,07;43,59;0;13;United States;Northern America;"Institute of Electrical and Electronics Engineers";"2022-2024";"Computer Networks and Communications; Education; Information Systems and Management; Instrumentation; Management Information Systems; Media Technology";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Physics and Astronomy; Social Sciences"
6342;21101207001;"Proceedings - International Conference on Field-Programmable Technology, ICFPT";conference and proceedings;"28370430, 28370449";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,140;-;3;0;53;0;42;51;0,79;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010, 2023";"Computer Science Applications; Control and Optimization; Hardware and Architecture; Software";"Computer Science; Mathematics"
6343;24471;"Civil War History";journal;"15336271, 00098078";"Kent State University";No;No;0,139;Q2;16;20;45;905;8;36;0,23;45,25;45,83;0;0;United States;Northern America;"Kent State University";"1963, 1970, 1978, 1982, 1985, 1987, 1992, 2000, 2002-2025";"History (Q2)";"Arts and Humanities"
6344;21100200606;"International Journal of Transpersonal Studies";journal;"13210122, 19423241";"International Transpersonal Association";Yes;No;0,139;Q2;15;0;47;0;15;40;0,18;0,00;0,00;0;0;United States;Northern America;"International Transpersonal Association";"2011-2023";"Religious Studies (Q2); Philosophy (Q3); Applied Psychology (Q4)";"Arts and Humanities; Psychology"
6345;21100928227;"Journal of Chinese Literature and Culture";journal;"23290056, 23290048";"Duke University Press";No;No;0,139;Q2;4;8;51;718;20;50;0,51;89,75;57,14;0;0;United States;Northern America;"Duke University Press";"2019-2024";"Literature and Literary Theory (Q2); Anthropology (Q3)";"Arts and Humanities; Social Sciences"
6346;11600153439;"North Korean Review";journal;"15512789, 19412886";"McFarland and Company, Inc";No;No;0,139;Q2;10;7;38;287;15;33;0,20;41,00;100,00;0;3;United States;Northern America;"McFarland and Company, Inc";"2010-2017, 2019-2024";"History (Q2); Cultural Studies (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
6347;14403;"Victorian Studies";journal;"15272052, 00425222";"Indiana University Press";No;No;0,139;Q2;29;19;87;484;24;76;0,23;25,47;50,00;0;1;United States;Northern America;"Indiana University Press";"1969-1972, 1976-1978, 1980-1982, 1984-1986, 1988, 1990-1992, 1995, 1999, 2001-2024";"History (Q2); Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); Cultural Studies (Q3); Philosophy (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
6348;14686;"Eighteenth-Century Studies";journal;"00132586, 1086315X";"Johns Hopkins University Press";No;No;0,139;Q3;27;68;169;1695;29;169;0,06;24,93;44,26;0;7;United States;Northern America;"Johns Hopkins University Press";"1969, 1972, 1975-1976, 1979-1980, 1983-1985, 1998, 2000, 2002-2025";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3)";"Arts and Humanities; Social Sciences"
6349;19700188800;"Electronics and Communications in Japan";journal;"19429541, 19429533";"Wiley-Blackwell";No;No;0,139;Q4;30;29;136;521;65;136;0,39;17,97;10,00;0;4;United States;Northern America;"Wiley-Blackwell";"1975, 2008-2025";"Applied Mathematics (Q4); Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4); Physics and Astronomy (miscellaneous) (Q4); Signal Processing (Q4)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
6350;21100258852;"International Journal of Interdisciplinary Educational Studies";journal;"2327011X, 23272570";"Common Ground Research Networks";No;No;0,139;Q4;5;30;47;1352;16;46;0,24;45,07;50,75;0;17;United States;Northern America;"Common Ground Research Networks";"2012-2025";"Education (Q4)";"Social Sciences"
6351;21100466834;"Journal of Risk Model Validation";journal;"17539587, 17539579";"Incisive Media Ltd.";No;No;0,139;Q4;10;14;47;433;27;47;0,52;30,93;32,56;0;5;United States;Northern America;"Incisive Media Ltd.";"2012-2024";"Applied Mathematics (Q4); Economics and Econometrics (Q4); Finance (Q4); Modeling and Simulation (Q4)";"Economics, Econometrics and Finance; Mathematics"
6352;21100980696;"Literary Journalism Studies";journal;"1944897X, 19448988";"International Association for Literary Journalism Studies";No;No;0,139;Q4;3;9;23;760;13;15;0,06;84,44;80,00;0;2;United States;Northern America;"International Association for Literary Journalism Studies";"2019-2024";"Communication (Q4)";"Social Sciences"
6353;70075;"International Conference on Nuclear Engineering, Proceedings, ICONE";conference and proceedings;"-";"American Society of Mechanical Engineers (ASME)";No;No;0,139;-;25;0;146;0;34;144;0,23;0,00;0,00;0;0;United States;Northern America;"American Society of Mechanical Engineers (ASME)";"1996-1997, 2002, 2004, 2006, 2008-2010, 2012-2015, 2017, 2022";"Nuclear Energy and Engineering";"Energy"
6354;17658;"American Imago";journal;"10857931, 0065860X";"Johns Hopkins University Press";No;No;0,138;Q2;18;24;104;865;18;81;0,15;36,04;57,14;0;1;United States;Northern America;"Johns Hopkins University Press";"1946-1953, 1964-1980, 1996-2024";"Literature and Literary Theory (Q2); Anthropology (Q3); Arts and Humanities (miscellaneous) (Q3); Music (Q3); Experimental and Cognitive Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
6355;19300156908;"Henry James Review";journal;"10806555, 02730340";"Johns Hopkins University Press";No;No;0,138;Q2;13;22;55;927;6;52;0,11;42,14;42,86;0;2;United States;Northern America;"Johns Hopkins University Press";"2002-2025";"Literature and Literary Theory (Q2)";"Arts and Humanities"
6356;16200154740;"Logos (United States)";journal;"1533791X, 10916687";"Center for Catholic Studies, University of St. Thomas";Yes;No;0,138;Q2;8;37;108;1122;9;99;0,07;30,32;33,33;0;0;United States;Northern America;"Center for Catholic Studies, University of St. Thomas";"2002-2025";"Literature and Literary Theory (Q2); Religious Studies (Q2); Cultural Studies (Q3); Philosophy (Q3)";"Arts and Humanities; Social Sciences"
6357;19700180585;"Spiritus";journal;"15353117, 15331709";"Johns Hopkins University Press";No;No;0,138;Q2;7;19;60;890;10;55;0,10;46,84;52,94;0;2;United States;Northern America;"Johns Hopkins University Press";"2009-2024";"History (Q2); Religious Studies (Q2); Philosophy (Q3)";"Arts and Humanities"
6358;21101059299;"Asian Journal of Legal Education";journal;"23482451, 23220058";"SAGE Publications Inc.";No;No;0,138;Q3;5;19;47;129;24;46;0,52;6,79;62,07;0;10;United States;Northern America;"SAGE Publications Inc.";"2014-2024";"Law (Q3); Development (Q4); Education (Q4)";"Social Sciences"
6359;14000155249;"Nineteenth Century Music";journal;"01482076, 15338606";"University of California Press";No;No;0,138;Q3;22;11;32;521;10;31;0,22;47,36;22,22;0;1;United States;Northern America;"University of California Press";"1977-2024";"Music (Q3)";"Arts and Humanities"
6360;5700153838;"Philosophy and Rhetoric";journal;"15272079, 00318213";"Penn State University Press";No;No;0,138;Q3;25;20;72;583;30;66;0,45;29,15;26,32;0;0;United States;Northern America;"Penn State University Press";"2002-2024";"Philosophy (Q3)";"Arts and Humanities"
6361;16320;"Critical Reviews in Physical and Rehabilitation Medicine";journal;"21626553, 08962960";"Begell House Inc.";No;No;0,138;Q4;19;22;63;808;20;58;0,32;36,73;53,23;0;5;United States;Northern America;"Begell House Inc.";"1995-2025";"Physical Therapy, Sports Therapy and Rehabilitation (Q4); Rehabilitation (Q4)";"Health Professions; Medicine"
6362;14678;"Infectious Diseases in Clinical Practice";journal;"10569103, 15369943";"Lippincott Williams and Wilkins Ltd.";No;No;0,138;Q4;25;98;387;2003;77;319;0,13;20,44;47,24;0;54;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1992-2002, 2004-2025";"Infectious Diseases (Q4); Microbiology (medical) (Q4)";"Medicine"
6363;12816;"Journal of General Education";journal;"00213667, 15272060";"Penn State University Press";No;No;0,138;Q4;14;0;12;0;3;12;0,00;0,00;0,00;0;0;United States;Northern America;"Penn State University Press";"1975-1976, 1980, 2010-2021";"Education (Q4)";"Social Sciences"
6364;17626;"Marine Fisheries Review";journal;"00901830";"National Marine Fisheries Service";No;No;0,138;Q4;38;1;13;42;4;13;0,00;42,00;0,00;0;0;United States;Northern America;"National Marine Fisheries Service";"1974, 1977-1984, 1987-2024";"Agronomy and Crop Science (Q4); Aquatic Science (Q4)";"Agricultural and Biological Sciences"
6365;21100199567;"International Conference on ICT and Knowledge Engineering";conference and proceedings;"2157099X, 21570981";"IEEE Computer Society";No;No;0,138;-;21;42;64;746;24;56;0,45;17,76;21,57;0;15;United States;Northern America;"IEEE Computer Society";"2011-2013, 2015-2016, 2018-2024";"Computer Networks and Communications; Computer Science Applications; Information Systems";"Computer Science"
6366;27593;"ANQ - Quarterly Journal of Short Articles Notes and Reviews";journal;"0895769X";"Routledge";No;No;0,137;Q2;9;200;272;3275;37;33;0,14;16,38;32,65;0;4;United States;Northern America;"Routledge";"1988-2025";"History (Q2); Literature and Literary Theory (Q2); Cultural Studies (Q3)";"Arts and Humanities; Social Sciences"
6367;5700156387;"Diacritics";journal;"03007162, 10806539";"Johns Hopkins University Press";No;No;0,137;Q2;22;6;87;207;26;67;0,08;34,50;60,00;0;0;United States;Northern America;"Johns Hopkins University Press";"2002-2010, 2012-2024";"Literature and Literary Theory (Q2)";"Arts and Humanities"
6368;16200154763;"ELH - English Literary History";journal;"10806547, 00138304";"Johns Hopkins University Press";No;No;0,137;Q2;28;41;121;2765;33;121;0,23;67,44;41,03;0;3;United States;Northern America;"Johns Hopkins University Press";"2001-2024";"History (Q2); Literature and Literary Theory (Q2)";"Arts and Humanities"
6369;18269;"French Historical Studies";journal;"00161071, 15275493";"Duke University Press";No;No;0,137;Q2;24;24;68;1797;18;65;0,09;74,88;52,38;0;5;United States;Northern America;"Duke University Press";"1978, 1983, 1989, 1999, 2001-2024";"History (Q2)";"Arts and Humanities"
6370;21101121581;"Pessoa Plural";journal;"22124179";"Brown University";Yes;Yes;0,137;Q2;4;49;56;1054;21;54;0,43;21,51;42,11;0;4;United States;Northern America;"Brown University";"2019-2024";"History (Q2); Literature and Literary Theory (Q2); Linguistics and Language (Q3)";"Arts and Humanities; Social Sciences"
6371;13201;"Communication Law and Policy";journal;"15326926, 10811680";"Routledge";No;No;0,137;Q3;14;2;36;28;20;32;0,52;14,00;75,00;0;1;United States;Northern America;"Routledge";"2005-2024";"Law (Q3); Communication (Q4)";"Social Sciences"
6372;21101016800;"Evolutionary Studies in Imaginative Culture";journal;"24729884, 24729876";"Academic Studies Press";No;No;0,137;Q3;11;0;70;0;25;44;0,25;0,00;0,00;0;0;United States;Northern America;"Academic Studies Press";"2017-2022";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); Communication (Q4)";"Arts and Humanities; Social Sciences"
6373;83063;"Journal of the California Dental Association";journal;"19424396, 10432256";"Taylor and Francis Ltd.";Yes;Yes;0,137;Q3;47;82;258;2007;48;185;0,20;24,48;57,78;0;26;United States;Northern America;"Taylor and Francis Ltd.";"1988-2016, 2020-2025";"Orthodontics (Q3); Periodontics (Q3)";"Dentistry"
6374;21101212771;"Annals of Internal Medicine Clinical Cases";journal;"27677664";"American College of Physicians";Yes;No;0,137;Q4;3;197;340;2051;64;327;0,19;10,41;38,43;0;95;United States;Northern America;"American College of Physicians";"2022-2025";"Cardiology and Cardiovascular Medicine (Q4); Clinical Biochemistry (Q4); Internal Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
6375;21100255514;"Change Management";journal;"2327798X, 23279176";"Common Ground Research Networks";No;No;0,137;Q4;6;6;28;261;7;28;0,31;43,50;61,54;0;2;United States;Northern America;"Common Ground Research Networks";"2013-2024";"Strategy and Management (Q4)";"Business, Management and Accounting"
6376;19700182809;"Journal of Private Enterprise";journal;"0890913X";"Association of Private Enterprise Education";No;No;0,137;Q4;13;17;57;766;18;56;0,38;45,06;33,33;0;10;United States;Northern America;"Association of Private Enterprise Education";"2008-2024";"Business, Management and Accounting (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
6377;21101227055;"Visible Language";journal;"00222224, 26915529";"University of Cincinnati";No;No;0,137;Q4;5;5;20;238;6;18;0,29;47,60;20,00;0;0;United States;Northern America;"University of Cincinnati";"2019-2024";"Computational Theory and Mathematics (Q4); Education (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Social Sciences"
6378;5800207997;"Hebrew Studies";journal;"01464094";"National Association of Professors of Hebrew in American Institutions of Higher Learning";No;No;0,136;Q2;6;7;61;486;8;61;0,11;69,43;14,29;0;0;United States;Northern America;"National Association of Professors of Hebrew in American Institutions of Higher Learning";"2011-2024";"History (Q2); Literature and Literary Theory (Q2); Religious Studies (Q2); Cultural Studies (Q3)";"Arts and Humanities; Social Sciences"
6379;21100931308;"Labor: Studies in Working-Class History";journal;"15581454, 15476715";"Duke University Press";No;No;0,136;Q2;6;36;108;1432;16;90;0,13;39,78;48,48;0;1;United States;Northern America;"Duke University Press";"2019-2024";"History (Q2); Industrial Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
6380;16566;"Radical History Review";journal;"15341453, 01636545";"Duke University Press";No;No;0,136;Q2;31;51;109;1329;44;92;0,39;26,06;81,63;0;17;United States;Northern America;"Duke University Press";"1979, 1984, 1986, 1999-2024";"History (Q2)";"Arts and Humanities"
6381;16300154713;"Studies in the Novel";journal;"00393827";"University of North Texas, English Department";No;No;0,136;Q2;21;38;94;1010;24;91;0,16;26,58;56,41;0;2;United States;Northern America;"University of North Texas, English Department";"2003-2024";"Literature and Literary Theory (Q2)";"Arts and Humanities"
6382;21101176677;"American Religion";journal;"26439255, 26439247";"Indiana University Press";No;No;0,136;Q3;4;16;49;77;24;33;0,43;4,81;78,57;0;2;United States;Northern America;"Indiana University Press";"2019-2024";"Anthropology (Q3); Cultural Studies (Q3); Social Sciences (miscellaneous) (Q4)";"Social Sciences"
6383;13038;"Cleveland State Law Review";journal;"00098876";"Cleveland-Marshall College of Law";No;No;0,136;Q3;7;38;60;5662;18;60;0,18;149,00;38,24;0;16;United States;Northern America;"Cleveland-Marshall College of Law";"1974-1975, 1980, 1982-1983, 1990, 1995, 1997, 1999, 2001, 2016-2024";"Law (Q3)";"Social Sciences"
6384;21100794007;"New York University Journal of Law and Liberty";journal;"19305044, 19324421";"Joe Christenden, Inc";No;No;0,136;Q3;5;11;40;1745;4;40;0,03;158,64;0,00;0;3;United States;Northern America;"Joe Christenden, Inc";"2016-2024";"Law (Q3)";"Social Sciences"
6385;20065;"BioPharm International";trade journal;"1542166X, 19391862";"Advanstar Communications Inc.";No;No;0,136;Q4;32;74;266;336;35;102;0,13;4,54;41,51;0;3;United States;Northern America;"Advanstar Communications Inc.";"2002-2024";"Biotechnology (Q4); Pharmaceutical Science (Q4)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
6386;15493;"Finance and Development";journal;"01451707, 15645142";"International Monetary Fund";Yes;No;0,136;Q4;39;77;190;60;66;52;0,32;0,78;0,00;0;5;United States;Northern America;"International Monetary Fund";"1973, 1975-1976, 1978-2024";"Development (Q4); Finance (Q4); Geography, Planning and Development (Q4)";"Economics, Econometrics and Finance; Social Sciences"
6387;28190;"Journal of Christian nursing : a quarterly publication of Nurses Christian Fellowship";journal;"07432550, 19317662";"Lippincott Williams and Wilkins Ltd.";No;No;0,136;Q4;14;100;273;0;49;271;0,20;0,00;83,96;0;10;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1984-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
6388;21101043801;"Urban Social Work";journal;"24748684, 24748692";"Springer Publishing Company";No;No;0,136;Q4;5;12;51;452;9;42;0,27;37,67;66,67;0;4;United States;Northern America;"Springer Publishing Company";"2017-2024";"Health (social science) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
6389;21100878890;"Conference Proceedings - IEEE-IAS/PCA Cement Industry Technical Conference";conference and proceedings;"21559139, 21559155";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,136;-;5;0;46;0;4;44;0,00;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017, 2019, 2021-2022";"Ceramics and Composites; Industrial and Manufacturing Engineering; Renewable Energy, Sustainability and the Environment";"Energy; Engineering; Materials Science"
